Documento de compras;Item;Centro;Recebimto.concluído;Ano doc.material;Ctg.de histórico de pedido;Doc.material;Item doc.material;Criado por;Referência;Tipo de movimento;Data de lançamento;Quantidade;UM pedido;Qtd.em UPP;Unid.prç.pedido;Montante em MI;Moeda interna;Montante;Moeda;Texto breve;Valor compensação EM/EF em moeda interna;Estq.bloq.EM UMP;Qtd.EM/EstqBlq.UMPP;Exercício documento referência;Documento referência;Item doc.referência;Valor da fatura;Material;Estorno EM apesar EF;Quantidade;Tipo de operação;Data do documento;Data de entrada;Cód.débito/crédito;Código de imposto;Ctg.doc.compras;EM/EF valor compensação em ME;Valor fatura em ME
4500569899;70;2561;;2025;Q;5501375659;1;IAREGO;63;;09/09/2025;451.648,460;PEÇ;451.648,460;PEÇ;451.648,46;BRL;451.648,46;BRL;ALUGUEL DE IMOVEL;451.648,46;0,000;0,000;2025;5002452898;1;451.648,46;400003;;0,000;2;01/09/2025;09/09/2025;S;S1;F;451.648,46;451.648,46
4500573023;60;2681;;2025;Q;5501314227;1;RPA08CPG;41080073;;24/03/2025;70.470,040;PEÇ;70.470,040;PEÇ;70.470,04;BRL;70.470,04;BRL;LOCAÇÃO SEDE REGIONAL SUL;70.470,04;0,000;0,000;2025;5002390402;1;70.470,04;400003;;0,000;2;20/03/2025;24/03/2025;S;S1;F;70.470,04;70.470,04
4500597530;60;2621;;2025;Q;5501283949;52;POLIVEIR;50;;03/01/2025;13.101,230;PEÇ;13.101,230;PEÇ;13.101,23;BRL;13.101,23;BRL;Aluguel de imóveis e Condomínios;13.101,23;0,000;0,000;2025;5002359727;1;13.101,23;400003;;0,000;2;01/12/2024;03/01/2025;S;S1;F;13.101,23;13.101,23
4500597530;60;2621;;2025;Q;5501287712;1;RPA08CPG;51;;13/01/2025;281.957,530;PEÇ;281.957,530;PEÇ;281.957,53;BRL;281.957,53;BRL;Aluguel de imóveis e Condomínios;281.957,53;0,000;0,000;2025;5002362150;1;281.957,53;400003;;0,000;2;01/01/2025;13/01/2025;S;S1;F;281.957,53;281.957,53
4500597530;60;2621;;2025;Q;5501297050;1;RPA08CPG;52;;07/02/2025;281.957,530;PEÇ;281.957,530;PEÇ;281.957,53;BRL;281.957,53;BRL;Aluguel de imóveis e Condomínios;281.957,53;0,000;0,000;2025;5002372229;1;281.957,53;400003;;0,000;2;01/02/2025;07/02/2025;S;S1;F;281.957,53;281.957,53
4500597530;60;2621;;2025;Q;5501307727;1;RPA08CPG;53;;07/03/2025;281.957,530;PEÇ;281.957,530;PEÇ;281.957,53;BRL;281.957,53;BRL;Aluguel de imóveis e Condomínios;281.957,53;0,000;0,000;2025;5002383344;1;281.957,53;400003;;0,000;2;01/03/2025;07/03/2025;S;S1;F;281.957,53;281.957,53
4500597530;60;2621;;2025;Q;5501317525;1;RPA08CPG;54;;04/04/2025;281.957,530;PEÇ;281.957,530;PEÇ;281.957,53;BRL;281.957,53;BRL;Aluguel de imóveis e Condomínios;281.957,53;0,000;0,000;2025;5002393665;1;281.957,53;400003;;0,000;2;01/04/2025;04/04/2025;S;S1;F;281.957,53;281.957,53
4500597530;60;2621;;2025;Q;5501330124;1;RPA08CPG;55;;09/05/2025;281.957,530;PEÇ;281.957,530;PEÇ;281.957,53;BRL;281.957,53;BRL;Aluguel de imóveis e Condomínios;281.957,53;0,000;0,000;2025;5002406646;1;281.957,53;400003;;0,000;2;01/05/2025;09/05/2025;S;S1;F;281.957,53;281.957,53
4500597530;60;2621;;2025;Q;5501339314;1;RPA08CPG;56;;04/06/2025;281.957,530;PEÇ;281.957,530;PEÇ;281.957,53;BRL;281.957,53;BRL;Aluguel de imóveis e Condomínios;281.957,53;0,000;0,000;2025;5002416443;1;281.957,53;400003;;0,000;2;01/06/2025;04/06/2025;S;S1;F;281.957,53;281.957,53
4500597530;60;2621;;2025;Q;5501351415;1;RPA08CPG;57;;04/07/2025;281.957,530;PEÇ;281.957,530;PEÇ;281.957,53;BRL;281.957,53;BRL;Aluguel de imóveis e Condomínios;281.957,53;0,000;0,000;2025;5002428839;1;281.957,53;400003;;0,000;2;01/07/2025;04/07/2025;S;S1;F;281.957,53;281.957,53
4500597530;60;2621;;2025;Q;5501363143;1;RPA08CPG;58;;05/08/2025;281.957,530;PEÇ;281.957,530;PEÇ;281.957,53;BRL;281.957,53;BRL;Aluguel de imóveis e Condomínios;281.957,53;0,000;0,000;2025;5002440524;1;281.957,53;400003;;0,000;2;01/08/2025;05/08/2025;S;S1;F;281.957,53;281.957,53
4500597530;60;2621;;2025;Q;5501374151;1;RPA08CPG;59;;05/09/2025;281.957,530;PEÇ;281.957,530;PEÇ;281.957,53;BRL;281.957,53;BRL;Aluguel de imóveis e Condomínios;281.957,53;0,000;0,000;2025;5002451871;1;281.957,53;400003;;0,000;2;01/09/2025;05/09/2025;S;S1;F;281.957,53;281.957,53
4500600154;80;2651;;2025;Q;5501308244;1;RPA08CPG;44827458;;10/03/2025;2.604,880;PEÇ;2.604,880;PEÇ;2.604,88;BRL;2.604,88;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;2.604,88;0,000;0,000;2025;5002383780;1;2.604,88;400045;;0,000;2;05/03/2025;10/03/2025;S;S1;F;2.604,88;2.604,88
4500600154;80;2651;;2025;Q;5501356283;1;IAREGO;50290919;;16/07/2025;3.761,920;PEÇ;3.761,920;PEÇ;3.761,92;BRL;3.761,92;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;3.761,92;0,000;0,000;2025;5002433228;2;3.761,92;400045;;0,000;2;05/07/2025;16/07/2025;S;S1;F;3.761,92;3.761,92
4500600154;80;2651;;2025;Q;5501357966;1;RPA08CPG;45049237;;21/07/2025;1.780,150;PEÇ;1.780,150;PEÇ;1.780,15;BRL;1.780,15;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;1.780,15;0,000;0,000;2025;5002435328;2;1.780,15;400045;;0,000;2;05/07/2025;21/07/2025;S;S1;F;1.780,15;1.780,15
4500600154;80;2651;;2025;Q;5501363790;1;IAREGO;50519719;;06/08/2025;2.740,330;PEÇ;2.740,330;PEÇ;2.740,33;BRL;2.740,33;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;2.740,33;0,000;0,000;2025;5002441138;2;2.740,33;400045;;0,000;2;05/08/2025;06/08/2025;S;S1;F;2.740,33;2.740,33
4500600154;80;2651;;2025;Q;5501366989;1;RPA08CPG;45103082;;15/08/2025;8.480,320;PEÇ;8.480,320;PEÇ;8.480,32;BRL;8.480,32;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;8.480,32;0,000;0,000;2025;5002444246;1;8.480,32;400045;;0,000;2;05/08/2025;15/08/2025;S;S1;F;8.480,32;8.480,32
4500600154;80;2651;;2025;Q;5501376901;1;IAREGO;50780435;;11/09/2025;3.654,960;PEÇ;3.654,960;PEÇ;3.654,96;BRL;3.654,96;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;3.654,96;0,000;0,000;2025;5002453796;2;3.654,96;400045;;0,000;2;05/09/2025;11/09/2025;S;S1;F;3.654,96;3.654,96
4500600154;120;2651;;2025;Q;5501286513;1;RPA08CPG;44728091;;10/01/2025;9.528,150;PEÇ;9.528,150;PEÇ;9.528,15;BRL;9.528,15;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;9.528,15;0,000;0,000;2025;5002361826;1;9.528,15;400045;;0,000;2;05/01/2025;10/01/2025;S;S1;F;9.528,15;9.528,15
4500600154;120;2651;;2025;Q;5501286837;1;IAREGO;48883100;;10/01/2025;2.239,550;PEÇ;2.239,550;PEÇ;2.239,55;BRL;2.239,55;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;2.239,55;0,000;0,000;2025;5002361809;1;2.239,55;400045;;0,000;2;05/01/2025;10/01/2025;S;S1;F;2.239,55;2.239,55
4500600154;120;2651;;2025;Q;5501298147;1;RPA08CPG;44782836;;11/02/2025;6.698,580;PEÇ;6.698,580;PEÇ;6.698,58;BRL;6.698,58;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;6.698,58;0,000;0,000;2025;5002373471;1;6.698,58;400045;;0,000;2;05/02/2025;11/02/2025;S;S1;F;6.698,58;6.698,58
4500600154;120;2651;;2025;Q;5501300402;1;IAREGO;49112634;;17/02/2025;3.502,600;PEÇ;3.502,600;PEÇ;3.502,60;BRL;3.502,60;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;3.502,60;0,000;0,000;2025;5002373472;2;3.502,60;400045;;0,000;2;05/02/2025;17/02/2025;S;S1;F;3.502,60;3.502,60
4500600154;120;2651;;2025;Q;5501308760;1;ASIANSI;49325824;;11/03/2025;1.357,330;PEÇ;1.357,330;PEÇ;1.357,33;BRL;1.357,33;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;1.357,33;0,000;0,000;2025;5002382997;2;1.357,33;400045;;0,000;2;05/03/2025;11/03/2025;S;S1;F;1.357,33;1.357,33
4500600154;120;2651;;2025;Q;5501319641;1;RPA08CPG;44885943;;08/04/2025;1.885,240;PEÇ;1.885,240;PEÇ;1.885,24;BRL;1.885,24;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;1.885,24;0,000;0,000;2025;5002395778;1;1.885,24;400045;;0,000;2;05/04/2025;08/04/2025;S;S1;F;1.885,24;1.885,24
4500600154;120;2651;;2025;Q;5501331042;1;IAREGO;49802468;;12/05/2025;1.204,620;PEÇ;1.204,620;PEÇ;1.204,62;BRL;1.204,62;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;1.204,62;0,000;0,000;2025;5002407181;2;1.204,62;400045;;0,000;2;05/05/2025;12/05/2025;S;S1;F;1.204,62;1.204,62
4500600154;120;2651;;2025;Q;5501332947;1;RPA08CPG;49698287;;16/05/2025;1.109,570;PEÇ;1.109,570;PEÇ;1.109,57;BRL;1.109,57;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;1.109,57;0,000;0,000;2025;5002409701;1;1.109,57;400045;;0,000;2;22/04/2025;16/05/2025;S;S1;F;1.109,57;1.109,57
4500600154;120;2651;;2025;Q;5501332961;1;RPA08CPG;44934106;;16/05/2025;1.822,420;PEÇ;1.822,420;PEÇ;1.822,42;BRL;1.822,42;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;1.822,42;0,000;0,000;2025;5002409595;1;1.822,42;400045;;0,000;2;05/05/2025;16/05/2025;S;S1;F;1.822,42;1.822,42
4500600154;120;2651;;2025;Q;5501341590;1;IAREGO;50050494;;10/06/2025;1.955,460;PEÇ;1.955,460;PEÇ;1.955,46;BRL;1.955,46;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;1.955,46;0,000;0,000;2025;5002418089;2;1.955,46;400045;;0,000;2;05/06/2025;10/06/2025;S;S1;F;1.955,46;1.955,46
4500600154;120;2651;;2025;Q;5501341779;1;RPA08CPG;449916811;;10/06/2025;13.734,550;PEÇ;13.734,550;PEÇ;13.734,55;BRL;13.734,55;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;13.734,55;0,000;0,000;2025;5002419121;1;13.734,55;400045;;0,000;2;05/06/2025;10/06/2025;S;S1;F;13.734,55;13.734,55
4500600154;120;2651;;2025;Q;5501357966;2;RPA08CPG;45049237;;21/07/2025;2.727,660;PEÇ;2.727,660;PEÇ;2.727,66;BRL;2.727,66;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;2.727,66;0,000;0,000;2025;5002435328;1;2.727,66;400045;;0,000;2;05/07/2025;21/07/2025;S;S1;F;2.727,66;2.727,66
4500600159;110;3621;;2025;Q;5501293258;1;RPA08CPG;44728090;;26/01/2025;1.208,420;PEÇ;1.208,420;PEÇ;1.208,42;BRL;1.208,42;BRL;MANUTENÇÃO DE VEICULOS - SERVIÇOS;1.208,42;0,000;0,000;2025;5002368350;1;1.208,42;400045;;0,000;2;06/01/2025;26/01/2025;S;S1;F;1.208,42;1.208,42
4500608952;20;2621;;2025;Q;5501322353;1;RPA08CPG;93202;;15/04/2025;243,100;UN;243,100;UN;243,10;BRL;243,10;BRL;Serviço de representação;243,10;0,000;0,000;2025;5002398408;1;243,10;400184;;0,000;2;14/04/2025;15/04/2025;S;S1;F;243,10;243,10
4500608952;20;2621;;2025;Q;5501332398;1;RPA08CPG;93277;;15/05/2025;271,700;UN;271,700;UN;271,70;BRL;271,70;BRL;Serviço de representação;271,70;0,000;0,000;2025;5002408928;1;271,70;400184;;0,000;2;08/05/2025;15/05/2025;S;S1;F;271,70;271,70
4500608952;30;2621;;2025;Q;5501351991;1;RPA08CPG;93398;;07/07/2025;1.031,700;UN;1.031,700;UN;1.031,70;BRL;1.031,70;BRL;Serviço de representação;1.031,70;0,000;0,000;2025;5002429307;1;1.031,70;400184;;0,000;2;18/06/2025;07/07/2025;S;S1;F;1.031,70;1.031,70
4500608952;30;2621;;2025;Q;5501356506;1;RPA08CPG;93484;;17/07/2025;1.031,700;UN;1.031,700;UN;1.031,70;BRL;1.031,70;BRL;Serviço de representação;1.031,70;0,000;0,000;2025;5002433781;1;1.031,70;400184;;0,000;2;15/07/2025;17/07/2025;S;S1;F;1.031,70;1.031,70
4500608952;30;2621;;2025;Q;5501367310;1;RPA08CPG;93554;;18/08/2025;271,700;UN;271,700;UN;271,70;BRL;271,70;BRL;Serviço de representação;271,70;0,000;0,000;2025;5002444523;1;271,70;400184;;0,000;2;14/08/2025;18/08/2025;S;S1;F;271,70;271,70
4500608952;30;2621;;2025;Q;5501378321;1;RPA08CPG;93632;;17/09/2025;1.538,160;UN;1.538,160;UN;1.538,16;BRL;1.538,16;BRL;Serviço de representação;1.538,16;0,000;0,000;2025;5002456406;1;1.538,16;400184;;0,000;2;15/09/2025;17/09/2025;S;S1;F;1.538,16;1.538,16
4500613194;20;2561;;2025;Q;5501354991;1;IAREGO;665361;;14/07/2025;341.665,540;PEÇ;341.665,540;PEÇ;341.665,54;BRL;341.665,54;BRL;MAQUINAS E EQUIPAMENTOS;341.665,54;0,000;0,000;2025;5002431839;1;341.665,54;500060;;0,000;2;02/07/2025;14/07/2025;S;S1;F;341.665,54;341.665,54
4500622368;20;2641;;2025;Q;5501306997;1;ASIANSI;1443;;06/03/2025;1,000;UN;1,000;UN;13.340,81;BRL;13.340,81;BRL;DETECTOR ALTURA VEICULAR WCAT WRITESYS;13.340,81;0,000;0,000;2025;5002381990;1;13.340,81;508360;;0,000;2;10/11/2024;06/03/2025;S;C0;F;13.340,81;13.340,81
4500622368;30;2641;;2025;Q;5501306321;1;RPA08CPG;1483;;05/03/2025;1,000;UN;1,000;UN;78.126,51;BRL;78.126,51;BRL;DETECTOR ALTURA VEICULAR WCAT WRITESYS;78.126,51;0,000;0,000;2025;5002381977;1;78.126,51;508360;;0,000;2;02/02/2025;05/03/2025;S;C0;F;78.126,51;78.126,51
4500623179;10;2591;;2025;Q;5501289698;2;IAREGO;620287;;17/01/2025;172,880;PEÇ;172,880;PEÇ;172,88;BRL;172,88;BRL;PEDIDO PARA PAGAMENTO DE MULTAS DE TRANS;172,88;0,000;0,000;2025;5002364001;2;172,88;400410;;0,000;2;21/10/2024;17/01/2025;S;S1;F;172,88;172,88
4500631239;30;2561;;2025;Q;5501293247;1;RPA08CPG;630960;;26/01/2025;4.293,800;PEÇ;4.293,800;PEÇ;4.293,80;BRL;4.293,80;BRL;PROJEÇÃO MANUTENÇÃO DE FROTA;4.293,80;0,000;0,000;2025;5002368385;1;4.293,80;400045;;0,000;2;13/12/2024;26/01/2025;S;S1;F;4.293,80;4.293,80
4500631239;30;2561;;2025;Q;5501301675;1;IAREGO;70934400;;19/02/2025;7.519,590;PEÇ;7.519,590;PEÇ;7.519,59;BRL;7.519,59;BRL;PROJEÇÃO MANUTENÇÃO DE FROTA;7.519,59;0,000;0,000;2025;5002376892;3;7.519,59;400045;;0,000;2;13/12/2024;19/02/2025;S;S1;F;7.519,59;7.519,59
4500631239;30;2561;;2025;Q;5501301691;1;IAREGO;631943;;19/02/2025;1.788,320;PEÇ;1.788,320;PEÇ;1.788,32;BRL;1.788,32;BRL;PROJEÇÃO MANUTENÇÃO DE FROTA;1.788,32;0,000;0,000;2025;5002376874;1;1.788,32;400045;;0,000;2;16/12/2024;19/02/2025;S;S1;F;1.788,32;1.788,32
4500642215;30;2681;;2025;Q;5501286703;15;IAREGO;68640000;;10/01/2025;7.675,360;PEÇ;7.675,360;PEÇ;7.675,36;BRL;7.675,36;BRL;Aluguel de Veiculos;7.675,36;0,000;0,000;2025;5002361722;3;7.675,36;400004;;0,000;2;20/09/2024;10/01/2025;S;S1;F;7.675,36;7.675,36
4500642215;30;2681;;2025;Q;5501297030;1;RPA08CPG;638383;;07/02/2025;1.612,000;PEÇ;1.612,000;PEÇ;1.612,00;BRL;1.612,00;BRL;Aluguel de Veiculos;1.612,00;0,000;0,000;2025;5002372191;1;1.612,00;400004;;0,000;2;22/01/2025;07/02/2025;S;S1;F;1.612,00;1.612,00
4500642215;30;2681;;2025;Q;5501297031;1;RPA08CPG;630504;;07/02/2025;2.905,490;PEÇ;2.905,490;PEÇ;2.905,49;BRL;2.905,49;BRL;Aluguel de Veiculos;2.905,49;0,000;0,000;2025;5002372188;1;2.905,49;400004;;0,000;2;13/12/2024;07/02/2025;S;S1;F;2.905,49;2.905,49
4500642219;30;2641;;2025;Q;5501293712;1;RPA08CPG;637590;;27/01/2025;15.883,540;PEÇ;15.883,540;PEÇ;15.883,54;BRL;15.883,54;BRL;Aluguel de Veiculos;15.883,54;0,000;0,000;2025;5002368734;1;15.883,54;400004;;0,000;2;17/01/2025;27/01/2025;S;S1;F;15.883,54;15.883,54
4500642219;30;2641;;2025;Q;5501303797;1;RPA08CPG;726807;;24/02/2025;1.862,560;PEÇ;1.862,560;PEÇ;1.862,56;BRL;1.862,56;BRL;Aluguel de Veiculos;1.862,56;0,000;0,000;2025;5002379357;1;1.862,56;400004;;0,000;2;18/02/2025;24/02/2025;S;S1;F;1.862,56;1.862,56
4500642219;30;2641;;2025;Q;5501316431;1;RPA08CPG;650540;;02/04/2025;2.396,950;PEÇ;2.396,950;PEÇ;2.396,95;BRL;2.396,95;BRL;Aluguel de Veiculos;2.396,95;0,000;0,000;2025;5002392682;1;2.396,95;400004;;0,000;2;20/03/2025;02/04/2025;S;S1;F;2.396,95;2.396,95
4500658987;50;2591;;2025;Q;5501317471;1;RPA08CPG;1013;;03/04/2025;1.531,600;PEÇ;1.531,600;PEÇ;1.531,60;BRL;1.531,60;BRL;ADITIVO DE CONTRATO;1.531,60;0,000;0,000;2025;5002393716;2;1.531,60;400135;;0,000;2;01/04/2025;03/04/2025;S;S1;F;1.531,60;1.531,60
4500658987;50;2591;;2025;Q;5501330943;1;RPA08CPG;1029;;12/05/2025;3.605,960;PEÇ;3.605,960;PEÇ;3.605,96;BRL;3.605,96;BRL;ADITIVO DE CONTRATO;3.605,96;0,000;0,000;2025;5002407370;1;3.605,96;400135;;0,000;2;02/05/2025;12/05/2025;S;S1;F;3.605,96;3.605,96
4500658987;50;2591;;2025;Q;5501339309;1;RPA08CPG;1049;;05/06/2025;3.521,600;PEÇ;3.521,600;PEÇ;3.521,60;BRL;3.521,60;BRL;ADITIVO DE CONTRATO;3.521,60;0,000;0,000;2025;5002416387;1;3.521,60;400135;;0,000;2;02/06/2025;05/06/2025;S;S1;F;3.521,60;3.521,60
4500658987;50;2591;;2025;Q;5501352779;1;RPA08CPG;1067;;08/07/2025;3.627,840;PEÇ;3.627,840;PEÇ;3.627,84;BRL;3.627,84;BRL;ADITIVO DE CONTRATO;3.627,84;0,000;0,000;2025;5002430258;1;3.627,84;400135;;0,000;2;01/07/2025;08/07/2025;S;S1;F;3.627,84;3.627,84
4500658987;50;2591;;2025;Q;5501364470;1;RPA08CPG;1087;;08/08/2025;3.522,840;PEÇ;3.522,840;PEÇ;3.522,84;BRL;3.522,84;BRL;ADITIVO DE CONTRATO;3.522,84;0,000;0,000;2025;5002441859;1;3.522,84;400135;;0,000;2;01/08/2025;08/08/2025;S;S1;F;3.522,84;3.522,84
4500658987;50;2591;;2025;Q;5501375279;1;RPA08CPG;1102;;08/09/2025;3.538,550;PEÇ;3.538,550;PEÇ;3.538,55;BRL;3.538,55;BRL;ADITIVO DE CONTRATO;3.538,55;0,000;0,000;2025;5002452890;1;3.538,55;400135;;0,000;2;01/09/2025;08/09/2025;S;S1;F;3.538,55;3.538,55
4500658987;60;2591;;2025;Q;5501307749;1;RPA08CPG;996;;07/03/2025;456,850;PEÇ;456,850;PEÇ;456,85;BRL;456,85;BRL;Serviço de Logística de Arquivos;456,85;0,000;0,000;2025;5002383350;2;456,85;400135;;0,000;2;03/03/2025;07/03/2025;S;S1;F;456,85;456,85
4500658987;70;2591;;2025;Q;5501296247;1;RPA08CPG;979;;05/02/2025;3.853,000;PEÇ;3.853,000;PEÇ;3.853,00;BRL;3.853,00;BRL;Serviço de Logística de Arquivos;3.853,00;0,000;0,000;2025;5002371410;1;3.853,00;400135;;0,000;2;03/02/2025;05/02/2025;S;S1;F;3.853,00;3.853,00
4500658987;70;2591;;2025;Q;5501307749;2;RPA08CPG;996;;07/03/2025;1.610,480;PEÇ;1.610,480;PEÇ;1.610,48;BRL;1.610,48;BRL;Serviço de Logística de Arquivos;1.610,48;0,000;0,000;2025;5002383350;1;1.610,48;400135;;0,000;2;03/03/2025;07/03/2025;S;S1;F;1.610,48;1.610,48
4500658987;80;2591;;2025;Q;5501285898;1;RPA08CPG;962;;09/01/2025;1.856,100;PEÇ;1.856,100;PEÇ;1.856,10;BRL;1.856,10;BRL;Serviço de Logística de Arquivos;1.856,10;0,000;0,000;2025;5002361181;1;1.856,10;400135;;0,000;2;02/01/2025;09/01/2025;S;S1;F;1.856,10;1.856,10
4500658987;90;2591;;2025;Q;5501285898;2;RPA08CPG;962;;09/01/2025;1.489,200;PEÇ;1.489,200;PEÇ;1.489,20;BRL;1.489,20;BRL;Serviço de Logística de Arquivos;1.489,20;0,000;0,000;2025;5002361181;2;1.489,20;400135;;0,000;2;02/01/2025;09/01/2025;S;S1;F;1.489,20;1.489,20
4500658987;90;2591;;2025;Q;5501307749;3;RPA08CPG;996;;07/03/2025;1.528,990;PEÇ;1.528,990;PEÇ;1.528,99;BRL;1.528,99;BRL;Serviço de Logística de Arquivos;1.528,99;0,000;0,000;2025;5002383350;3;1.528,99;400135;;0,000;2;03/03/2025;07/03/2025;S;S1;F;1.528,99;1.528,99
4500658987;90;2591;;2025;Q;5501317471;2;RPA08CPG;1013;;03/04/2025;1.990,000;PEÇ;1.990,000;PEÇ;1.990,00;BRL;1.990,00;BRL;Serviço de Logística de Arquivos;1.990,00;0,000;0,000;2025;5002393716;1;1.990,00;400135;;0,000;2;01/04/2025;03/04/2025;S;S1;F;1.990,00;1.990,00
4500685820;30;2681;;2025;Q;5501291746;1;RPA08CPG;41080071;;23/01/2025;173,520;PEÇ;173,520;PEÇ;173,52;BRL;173,52;BRL;Aluguel de Imóveis e Condominios;173,52;0,000;0,000;2025;5002366539;1;173,52;400003;;0,000;2;20/01/2025;23/01/2025;S;S1;F;173,52;173,52
4500685820;40;2681;;2025;Q;5501291746;2;RPA08CPG;41080071;;23/01/2025;125.914,810;PEÇ;125.914,810;PEÇ;125.914,81;BRL;125.914,81;BRL;Aluguel de Imóveis e Condominios;125.914,81;0,000;0,000;2025;5002366539;2;125.914,81;400003;;0,000;2;20/01/2025;23/01/2025;S;S1;F;125.914,81;125.914,81
